type,key1,key2,value
put,key0000000000024,,val0000000000024
put,key0000000000019,,val0000000000019
put,key0000000000011,,val0000000000011
put,key0000000000081,,val0000000000081
put,key0000000000077,,val0000000000077
put,key0000000000080,,val0000000000080
put,key0000000000074,,val0000000000074
put,key0000000000032,,val0000000000032
put,key0000000000045,,val0000000000045
put,key0000000000061,,val0000000000061
put,key0000000000029,,val0000000000029
put,key0000000000031,,val0000000000031
put,key0000000000094,,val0000000000094
put,key0000000000071,,val0000000000071
put,key0000000000052,,val0000000000052
put,key0000000000075,,val0000000000075
put,key0000000000082,,val0000000000082
put,key0000000000009,,val0000000000009
put,key0000000000020,,val0000000000020
put,key0000000000057,,val0000000000057
put,key0000000000014,,val0000000000014
put,key0000000000072,,val0000000000072
put,key0000000000002,,val0000000000002
put,key0000000000017,,val0000000000017
put,key0000000000005,,val0000000000005
put,key0000000000047,,val0000000000047
put,key0000000000039,,val0000000000039
put,key0000000000038,,val0000000000038
put,key0000000000003,,val0000000000003
put,key0000000000049,,val0000000000049
put,key0000000000059,,val0000000000059
put,key0000000000093,,val0000000000093
put,key0000000000026,,val0000000000026
put,key0000000000073,,val0000000000073
put,key0000000000055,,val0000000000055
put,key0000000000084,,val0000000000084
put,key0000000000051,,val0000000000051
put,key0000000000040,,val0000000000040
put,key0000000000091,,val0000000000091
put,key0000000000089,,val0000000000089
put,key0000000000028,,val0000000000028
put,key0000000000092,,val0000000000092
put,key0000000000015,,val0000000000015
put,key0000000000004,,val0000000000004
put,key0000000000100,,val0000000000100
put,key0000000000046,,val0000000000046
put,key0000000000079,,val0000000000079
put,key0000000000048,,val0000000000048
put,key0000000000068,,val0000000000068
put,key0000000000076,,val0000000000076
put,key0000000000096,,val0000000000096
put,key0000000000021,,val0000000000021
put,key0000000000001,,val0000000000001
put,key0000000000086,,val0000000000086
put,key0000000000067,,val0000000000067
put,key0000000000016,,val0000000000016
put,key0000000000097,,val0000000000097
put,key0000000000098,,val0000000000098
put,key0000000000022,,val0000000000022
put,key0000000000053,,val0000000000053
put,key0000000000033,,val0000000000033
put,key0000000000034,,val0000000000034
put,key0000000000050,,val0000000000050
put,key0000000000054,,val0000000000054
put,key0000000000056,,val0000000000056
put,key0000000000085,,val0000000000085
put,key0000000000099,,val0000000000099
put,key0000000000023,,val0000000000023
put,key0000000000095,,val0000000000095
put,key0000000000007,,val0000000000007
put,key0000000000042,,val0000000000042
put,key0000000000012,,val0000000000012
put,key0000000000063,,val0000000000063
put,key0000000000070,,val0000000000070
put,key0000000000018,,val0000000000018
put,key0000000000008,,val0000000000008
put,key0000000000090,,val0000000000090
put,key0000000000041,,val0000000000041
put,key0000000000035,,val0000000000035
put,key0000000000083,,val0000000000083
put,key0000000000060,,val0000000000060
put,key0000000000066,,val0000000000066
put,key0000000000064,,val0000000000064
put,key0000000000013,,val0000000000013
put,key0000000000078,,val0000000000078
put,key0000000000044,,val0000000000044
put,key0000000000010,,val0000000000010
put,key0000000000027,,val0000000000027
put,key0000000000030,,val0000000000030
put,key0000000000037,,val0000000000037
put,key0000000000087,,val0000000000087
put,key0000000000088,,val0000000000088
put,key0000000000025,,val0000000000025
put,key0000000000062,,val0000000000062
put,key0000000000006,,val0000000000006
put,key0000000000065,,val0000000000065
put,key0000000000069,,val0000000000069
put,key0000000000058,,val0000000000058
put,key0000000000036,,val0000000000036
put,key0000000000043,,val0000000000043
get,key0000000000024,,
get,key0000000000019,,
get,key0000000000011,,
get,key0000000000081,,
get,key0000000000077,,
get,key0000000000080,,
get,key0000000000074,,
get,key0000000000032,,
get,key0000000000045,,
get,key0000000000061,,
get,key0000000000029,,
get,key0000000000031,,
get,key0000000000094,,
get,key0000000000071,,
get,key0000000000052,,
get,key0000000000075,,
get,key0000000000082,,
get,key0000000000009,,
get,key0000000000020,,
get,key0000000000057,,
get,key0000000000014,,
get,key0000000000072,,
get,key0000000000002,,
get,key0000000000017,,
get,key0000000000005,,
get,key0000000000047,,
get,key0000000000039,,
get,key0000000000038,,
get,key0000000000003,,
get,key0000000000049,,
get,key0000000000059,,
get,key0000000000093,,
get,key0000000000026,,
get,key0000000000073,,
get,key0000000000055,,
get,key0000000000084,,
get,key0000000000051,,
get,key0000000000040,,
get,key0000000000091,,
get,key0000000000089,,
get,key0000000000028,,
get,key0000000000092,,
get,key0000000000015,,
get,key0000000000004,,
get,key0000000000100,,
get,key0000000000046,,
get,key0000000000079,,
get,key0000000000048,,
get,key0000000000068,,
get,key0000000000076,,
get,key0000000000096,,
get,key0000000000021,,
get,key0000000000001,,
get,key0000000000086,,
get,key0000000000067,,
get,key0000000000016,,
get,key0000000000097,,
get,key0000000000098,,
get,key0000000000022,,
get,key0000000000053,,
get,key0000000000033,,
get,key0000000000034,,
get,key0000000000050,,
get,key0000000000054,,
get,key0000000000056,,
get,key0000000000085,,
get,key0000000000099,,
get,key0000000000023,,
get,key0000000000095,,
get,key0000000000007,,
get,key0000000000042,,
get,key0000000000012,,
get,key0000000000063,,
get,key0000000000070,,
get,key0000000000018,,
get,key0000000000008,,
get,key0000000000090,,
get,key0000000000041,,
get,key0000000000035,,
get,key0000000000083,,
get,key0000000000060,,
get,key0000000000066,,
get,key0000000000064,,
get,key0000000000013,,
get,key0000000000078,,
get,key0000000000044,,
get,key0000000000010,,
get,key0000000000027,,
get,key0000000000030,,
get,key0000000000037,,
get,key0000000000087,,
get,key0000000000088,,
get,key0000000000025,,
get,key0000000000062,,
get,key0000000000006,,
get,key0000000000065,,
get,key0000000000069,,
get,key0000000000058,,
get,key0000000000036,,
get,key0000000000043,,
del,key0000000000024,,
del,key0000000000019,,
del,key0000000000011,,
del,key0000000000081,,
del,key0000000000077,,
del,key0000000000080,,
del,key0000000000074,,
del,key0000000000032,,
del,key0000000000045,,
del,key0000000000061,,
get,key0000000000024,,
get,key0000000000019,,
get,key0000000000011,,
get,key0000000000081,,
get,key0000000000077,,
get,key0000000000080,,
get,key0000000000074,,
get,key0000000000032,,
get,key0000000000045,,
get,key0000000000061,,
