type,key1,key2,value
put,key0000000000024,,val0000000000024
put,key0000000000019,,val0000000000019
put,key0000000000011,,val0000000000011
put,key0000000000081,,val0000000000081
put,key0000000000077,,val0000000000077
put,key0000000000080,,val0000000000080
put,key0000000000074,,val0000000000074
put,key0000000000032,,val0000000000032
put,key0000000000045,,val0000000000045
put,key0000000000061,,val0000000000061
put,key0000000000029,,val0000000000029
put,key0000000000031,,val0000000000031
put,key0000000000094,,val0000000000094
put,key0000000000071,,val0000000000071
put,key0000000000052,,val0000000000052
put,key0000000000075,,val0000000000075
put,key0000000000082,,val0000000000082
put,key0000000000009,,val0000000000009
put,key0000000000020,,val0000000000020
put,key0000000000057,,val0000000000057
