type,key1,outcome,values
put,key0000000000024,0,
put,key0000000000019,0,
put,key0000000000011,0,
put,key0000000000081,0,
put,key0000000000077,0,
put,key0000000000080,0,
put,key0000000000074,0,
put,key0000000000032,0,
put,key0000000000045,0,
put,key0000000000061,0,
put,key0000000000029,0,
put,key0000000000031,0,
put,key0000000000094,0,
put,key0000000000071,0,
put,key0000000000052,0,
put,key0000000000075,0,
put,key0000000000082,0,
put,key0000000000009,0,
put,key0000000000020,0,
put,key0000000000057,0,
put,key0000000000014,0,
put,key0000000000072,0,
put,key0000000000002,0,
put,key0000000000017,0,
put,key0000000000005,0,
put,key0000000000047,0,
put,key0000000000039,0,
put,key0000000000038,0,
put,key0000000000003,0,
put,key0000000000049,0,
put,key0000000000059,0,
put,key0000000000093,0,
put,key0000000000026,0,
put,key0000000000073,0,
put,key0000000000055,0,
put,key0000000000084,0,
put,key0000000000051,0,
put,key0000000000040,0,
put,key0000000000091,0,
put,key0000000000089,0,
put,key0000000000028,0,
put,key0000000000092,0,
put,key0000000000015,0,
put,key0000000000004,0,
put,key0000000000100,0,
put,key0000000000046,0,
put,key0000000000079,0,
put,key0000000000048,0,
put,key0000000000068,0,
put,key0000000000076,0,
put,key0000000000096,0,
put,key0000000000021,0,
put,key0000000000001,0,
put,key0000000000086,0,
put,key0000000000067,0,
put,key0000000000016,0,
put,key0000000000097,0,
put,key0000000000098,0,
put,key0000000000022,0,
put,key0000000000053,0,
put,key0000000000033,0,
put,key0000000000034,0,
put,key0000000000050,0,
put,key0000000000054,0,
put,key0000000000056,0,
put,key0000000000085,0,
put,key0000000000099,0,
put,key0000000000023,0,
put,key0000000000095,0,
put,key0000000000007,0,
put,key0000000000042,0,
put,key0000000000012,0,
put,key0000000000063,0,
put,key0000000000070,0,
put,key0000000000018,0,
put,key0000000000008,0,
put,key0000000000090,0,
put,key0000000000041,0,
put,key0000000000035,0,
put,key0000000000083,0,
put,key0000000000060,0,
put,key0000000000066,0,
put,key0000000000064,0,
put,key0000000000013,0,
put,key0000000000078,0,
put,key0000000000044,0,
put,key0000000000010,0,
put,key0000000000027,0,
put,key0000000000030,0,
put,key0000000000037,0,
put,key0000000000087,0,
put,key0000000000088,0,
put,key0000000000025,0,
put,key0000000000062,0,
put,key0000000000006,0,
put,key0000000000065,0,
put,key0000000000069,0,
put,key0000000000058,0,
put,key0000000000036,0,
put,key0000000000043,0,
get,key0000000000024,1,val0000000000024
get,key0000000000019,1,val0000000000019
get,key0000000000011,1,val0000000000011
get,key0000000000081,1,val0000000000081
get,key0000000000077,1,val0000000000077
get,key0000000000080,1,val0000000000080
get,key0000000000074,1,val0000000000074
get,key0000000000032,1,val0000000000032
get,key0000000000045,1,val0000000000045
get,key0000000000061,1,val0000000000061
get,key0000000000029,1,val0000000000029
get,key0000000000031,1,val0000000000031
get,key0000000000094,1,val0000000000094
get,key0000000000071,1,val0000000000071
get,key0000000000052,1,val0000000000052
get,key0000000000075,1,val0000000000075
get,key0000000000082,1,val0000000000082
get,key0000000000009,1,val0000000000009
get,key0000000000020,1,val0000000000020
get,key0000000000057,1,val0000000000057
get,key0000000000014,1,val0000000000014
get,key0000000000072,1,val0000000000072
get,key0000000000002,1,val0000000000002
get,key0000000000017,1,val0000000000017
